,Pair,Dist,p1,p2
0,"[0, 1]",4.21425,0,1
1,"[0, 2]",0.753361111111111,0,2
2,"[0, 3]",3.624861111111111,0,3
3,"[0, 4]",1.832861111111111,0,4
4,"[0, 5]",1.9140833333333334,0,5
5,"[0, 6]",0.564138888888889,0,6
6,"[0, 7]",0.4921944444444445,0,7
7,"[0, 8]",0.5896111111111111,0,8
8,"[0, 9]",0.6041666666666666,0,9
9,"[0, 10]",0.5400277777777778,0,10
10,"[0, 11]",3.3408333333333333,0,11
11,"[0, 12]",3.378861111111111,0,12
12,"[0, 13]",3.4492222222222226,0,13
13,"[0, 14]",2.0245555555555557,0,14
14,"[0, 15]",1.5,0,15
15,"[0, 16]",0.6948888888888889,0,16
16,"[0, 17]",6.20925,0,17
17,"[0, 18]",0.7795833333333333,0,18
18,"[0, 19]",0.5428055555555555,0,19
19,"[0, 20]",1.3151666666666668,0,20
20,"[0, 21]",0.40744444444444444,0,21
21,"[0, 22]",0.965,0,22
22,"[0, 23]",0.6935,0,23
23,"[0, 24]",2.1145833333333335,0,24
24,"[0, 25]",2.5231666666666666,0,25
25,"[0, 26]",1.8960555555555556,0,26
26,"[0, 27]",2.508638888888889,0,27
27,"[0, 28]",1.198,0,28
28,"[0, 29]",1.4533333333333334,0,29
29,"[0, 30]",1.0102777777777778,0,30
30,"[0, 31]",1.0700555555555555,0,31
31,"[0, 32]",0.5261388888888888,0,32
32,"[0, 33]",1.0937777777777777,0,33
33,"[0, 34]",1.3037222222222222,0,34
34,"[0, 35]",0.7799166666666666,0,35
35,"[0, 36]",4.7251111111111115,0,36
36,"[0, 37]",0.7866666666666666,0,37
37,"[0, 38]",3.1195000000000004,0,38
38,"[0, 39]",0.9195833333333333,0,39
39,"[0, 40]",0.7094722222222222,0,40
40,"[0, 41]",1.1805277777777776,0,41
41,"[0, 42]",1.2444444444444445,0,42
42,"[0, 43]",1.2173611111111111,0,43
43,"[0, 44]",1.4506944444444445,0,44
44,"[0, 45]",3.3193055555555557,0,45
45,"[0, 46]",2.596,0,46
46,"[0, 47]",1.4411944444444444,0,47
47,"[0, 48]",1.4411944444444444,0,48
48,"[0, 49]",2.0984166666666666,0,49
49,"[0, 50]",1.5487777777777778,0,50
50,"[0, 51]",3.1133055555555553,0,51
51,"[0, 52]",0.8033055555555556,0,52
52,"[0, 53]",2.4823055555555555,0,53
53,"[0, 54]",5.435972222222222,0,54
54,"[0, 55]",1.6555277777777777,0,55
55,"[0, 56]",0.8598055555555556,0,56
56,"[0, 57]",1.6300833333333333,0,57
57,"[0, 58]",0.9195833333333333,0,58
58,"[0, 59]",0.8412222222222222,0,59
59,"[0, 60]",1.0780833333333333,0,60
60,"[0, 61]",3.0885277777777778,0,61
61,"[0, 62]",0.18208333333333335,0,62
62,"[0, 63]",6.873777777777778,0,63
63,"[0, 64]",1.6868611111111111,0,64
64,"[0, 65]",1.0002777777777778,0,65
65,"[0, 66]",1.1391388888888887,0,66
66,"[0, 67]",1.1615277777777777,0,67
67,"[0, 68]",1.1615277777777777,0,68
68,"[0, 69]",0.7474166666666666,0,69
69,"[0, 70]",1.3333333333333333,0,70
