,lngCouncil,calCouncil,Address,City,State,Zip,Zip5,lat_lon
0,15996,St. John Paul II Council 15996,6301 Cedarcrest Road, Acworth,GA,30101,30101,"(34.0756, -84.6477)"
1,3607,Msgr. Daniel J. Bourke Council 3607,421 Edgewood Lane, Albany,GA,31707-3909,31707,"(31.5789, -84.2118)"
2,6532,St. Thomas Aquinas Council 6532,535 Rucker Road, Alpharetta,GA,30004-4048,30004,"(34.1124, -84.302)"
3,7113,Americus Council 7113,332 South Lee Street, Americus,GA,31709-3916,31709,"(32.0404, -84.2153)"
4,6514,Deacon William P. Lakin Council 6514,958 Epps Bridge Parkway, Athens,GA,30606,30606,"(33.9461, -83.41799999999998)"
5,17969,The Georgia Martyrs at the University of Georgia 17969,1344 South Lumpkin Street, Athens,GA,30605,30605,"(33.9321, -83.3525)"
6,660,Atlanta Council 660,2699 Peachtree Road NE, Atlanta,GA,30305,30305,"(33.832, -84.3851)"
7,6517,Msgr. John D. Stapleton Council 6517,4465 Northside Drive NW, Atlanta,GA,30327-3600,30327,"(33.8627, -84.42)"
8,14496,Georgia Tech Council 14496,172 4th Street NW, Atlanta,GA,30313-2506,30313,"(33.7683, -84.3935)"
9,15848,Basilica of the Sacred Heart Council 15848,353 Peachtree Street NE, Atlanta,GA,30308-6800,30308,"(33.7718, -84.3757)"
10,16513,St. Jude the Apostle Council 16513,7171 Glenridge Drive NE, Atlanta,GA,30328,30328,"(33.9335, -84.3958)"
11,677,Patrick Walsh Council 677,1501 Monte Sano Avenue, Augusta,GA,30904-5322,30904,"(33.4737, -82.0131)"
12,5484,John F. Kennedy Council 5484,720 Telfair Street, Augusta,GA,30901,30901,"(33.4601, -81.973)"
13,13437,St. Joseph the Worker Council 13437,2607 Lumpkin Road, Augusta,GA,30906-3222,30906,"(33.3589, -82.0099)"
14,11746,St. Francis of Assisi Council 11746,3717 Highway 515 East, Blairsville,GA,30512-3822,30512,"(34.8763, -83.992)"
15,12126,Blue Ridge Council 12126,967 E Main Street, Blue Ridge,GA,30513,30513,"(34.8555, -84.3281)"
16,15161,Deacon Mike J. O'Brien Council 15161,1350 Hearst Drive, Brookhaven,GA,30319,30319,"(33.8687, -84.3351)"
17,1939,Henry T. Ross Council 1939,4299 US Highway 17 North, Brunswick,GA,31521-0269,31521,"(31.15, -81.4915)"
18,9339,St. Clements Council 9339,875 Highway 53 West SW, Calhoun,GA,30701,30701,"(34.4965, -84.9345)"
19,12826,Etowah Council 12826,2941 Sam Nelson Road, Canton,GA,30114-5312,30114,"(34.2505, -84.4909)"
20,8731,Msgr. Michael J. Regan Council 8731,210 Old Center Point Road, Carrollton,GA,30117-6821,30117,"(33.5798, -85.0812)"
21,11461,St. Francis of Assisi Council 11461,850 Douthit Ferry Road, Cartersville,GA,30120-6481,30120,"(34.187, -84.8204)"
22,16534,St. Bernadette Council 16534,100 Evergreen Lane, Cedartown,GA,30125,30125,"(34.0112, -85.2459)"
23,10355,Holy Cross Council 10355,3175 Hathaway Court, Chamblee,GA,30341-4640,30341,"(33.8879, -84.2905)"
24,13491,St. Mark Council 13491,5410 Highway 197 South, Clarkesville,GA,30523-6512,30523,"(34.645, -83.5243)"
25,13376,St. Helena Council 13376,137 Meadow Stream Lane, Clayton,GA,30525,30525,"(34.8826, -83.4065)"
